,senti_score,tweet_content,country_list
0,-0.3,Disturbing footage shows horrific reality for Syrians under attack by their own government. #Daraya #Syria,Canada
1,-0.4,"A chess set from cheese cartons. A game of survival. Tonight BBCRadio4 20 BST \""Held Hostage in #Syria\u2026 htt\u2026",Canada
2,0.0,"May Allah curse Bashar al Asad &amp; his allies! Another massacre in #MaraatAlNouman, #Syria just minutes ag\u2026 htt\u2026",Canada
3,-0.3,Disturbing footage shows horrific reality for Syrians under attack by their own government. #Daraya #Syria,Spain
4,-0.5,"Absurd at h\u00f8re #dkpol \u00e6vle om at IS er den st\u00f8rste trussel, n\u00e5r en kvart mill borgere er myrdet af Assad #SaveSyria ",Denmark
5,0.0,#Iran:Ex-governor of #yazd injured in #Syria war,USA
6,0.375,Rich gulf Arab nations\u2019 refugee response questioned,Canada
7,0.0,#ndtv Air Strike On Market Kills Around 40 In Opposition-Held Northwest Syria: Air strikes on a vegetable mark...,Thailand
8,0.0,\u062f\u062e\u0648\u0644 \u0644\u0633\u064a\u0627\u0631\u0627\u062a \u0627\u0644\u0623\u0645\u0645 \u0627\u0644\u0645\u062a\u062d\u062f\u0629 \u0625\u0644\u0649 \u0627\u0644\u063a\u0648\u0637\u0629 \u0627\u0644\u0634\u0631\u0642\u064a\u0629 \u0642\u0628\u0644 \u0642\u0644\u064a\u064419-4-2016#\u062a\u062c\u0645\u0639_\u062b\u0648\u0627\u0631_\u0633\u0648\u0631\u064a\u0627 #SyriaRebels\u2026 htt\u2026,Canada
9,-0.3,Disturbing footage shows horrific reality for Syrians under attack by their own government. #Daraya #Syria,Canada
10,0.0,Air Strike On Market Kills Around 40 In Opposition-Held Northwest Syria: Air strikes on a vegetable ...,India
11,0.0,@Ali_Husain333 @Nandianehat Ali is made because of my anti radical position in Syria.,Canada
12,-0.2,Four Afghan fighters part of the IRGC Fatimiyoun Brigade recently killed in #Syria ,Canada
13,0.0,Obama Dismisses 'Some Abstract Notion of Red Lines' in Syria,Canada
14,0.0,Air Strike On Market Kills Around 40 In Opposition-Held Northwest Syria,USA
15,0.0,#FollowMe #F2F #FF Air Strike On Market Kills Around 40 In Opposition-Held Northwest Syria...,Canada
16,0.0,#Jordan recalls its #Iran ambassador,USA
17,0.0,Air Strike On Market Kills Around 40 In Opposition-Held Northwest Syria: Air strikes on a vegetable market in opposition-held northwe...,USA
18,0.0,Air Strike On Market Kills Around 40 In Opposition-Held Northwest Syria: Air strikes on a vegetable market in ...,India
19,-0.1,Manpads are no use against mod Russian Jets &amp; Helicopters: Counter measures invented longtime ago: Useless in Syria?,Israel
20,0.3,Our own @Zia_Salik discussing the current situation in Syria 5 years on from start of the conflict #ANightInAleppo htt\u2026,USA
21,0.0,LOLOLOL!!! #ReleasetheTranscripts #Haiti #Aristide #Honduras #BertaCaceres #Iraq #Syria #Libya #\u2026 htt\u2026,Canada
22,0.0,Air Strike On Market Kills Around 40 In Opposition-Held Northwest Syria,USA
23,-0.3,Disturbing footage shows horrific reality for Syrians under attack by their own government. #Daraya #Syria,Canada
24,0.144444444444,"Air strike in Syria against the morning market in Kafranbel \u2013 as you can easily see, a clear military target",Riyadh Saudi Arabia
25,0.0,Syria\u2019s Saudi-backed opposition says Delegation leaders are leaving Geneva,Canada
26,-0.25,At least 9 civilians killed in a regime airstrike on the road between the Bala town and Deir al-Asafir.,Canada
27,0.0,Air Strike On Market Kills Around 40 In Opposition-Held Northwest Syria: Air strikes on a vegetable market in ...,USA
28,0.0,#Syria opposition says delegation leaders leaving #Geneva\nhttps:\/\/t.co\/RXDmneDwiO\n#SyriaTalks #\u0633\u0648\u0631\u064a\u0627,Riyadh Saudi Arabia
29,-0.3,Disturbing footage shows horrific reality for Syrians under attack by their own government. #Daraya #Syria,Canada
30,0.0,#Dailystar White House says US still sees path forward for Syrian peace talks: The United Nations has n...,USA
