,country,senti_score,tweet_content
0,Canada,-0.3,Disturbing footage shows horrific reality for Syrians under attack by their own government. #Daraya #Syria
1,Canada,-0.4,"A chess set from cheese cartons. A game of survival. Tonight BBCRadio4 20 BST \""Held Hostage in #Syria\u2026 htt\u2026"
2,Canada,0.0,"May Allah curse Bashar al Asad &amp; his allies! Another massacre in #MaraatAlNouman, #Syria just minutes ag\u2026 htt\u2026"
3,Madrid,-0.3,Disturbing footage shows horrific reality for Syrians under attack by their own government. #Daraya #Syria
4,Danmark,-0.5,"Absurd at h\u00f8re #dkpol \u00e6vle om at IS er den st\u00f8rste trussel, n\u00e5r en kvart mill borgere er myrdet af Assad #SaveSyria "
5,Athens,0.0,#Iran:Ex-governor of #yazd injured in #Syria war
6,Canada,0.375,Rich gulf Arab nations\u2019 refugee response questioned
7,Bangkok,0.0,#ndtv Air Strike On Market Kills Around 40 In Opposition-Held Northwest Syria: Air strikes on a vegetable mark...
8,Canada,0.0,\u062f\u062e\u0648\u0644 \u0644\u0633\u064a\u0627\u0631\u0627\u062a \u0627\u0644\u0623\u0645\u0645 \u0627\u0644\u0645\u062a\u062d\u062f\u0629 \u0625\u0644\u0649 \u0627\u0644\u063a\u0648\u0637\u0629 \u0627\u0644\u0634\u0631\u0642\u064a\u0629 \u0642\u0628\u0644 \u0642\u0644\u064a\u064419-4-2016#\u062a\u062c\u0645\u0639_\u062b\u0648\u0627\u0631_\u0633\u0648\u0631\u064a\u0627 #SyriaRebels\u2026 htt\u2026
9,Canada,-0.3,Disturbing footage shows horrific reality for Syrians under attack by their own government. #Daraya #Syria
10,Chennai,0.0,Air Strike On Market Kills Around 40 In Opposition-Held Northwest Syria: Air strikes on a vegetable ...
11,Canada,0.0,@Ali_Husain333 @Nandianehat Ali is made because of my anti radical position in Syria.
12,Canada,-0.2,Four Afghan fighters part of the IRGC Fatimiyoun Brigade recently killed in #Syria 
13,Canada,0.0,Obama Dismisses 'Some Abstract Notion of Red Lines' in Syria
14,Delhi,0.0,Air Strike On Market Kills Around 40 In Opposition-Held Northwest Syria
15,Canada,0.0,#FollowMe #F2F #FF Air Strike On Market Kills Around 40 In Opposition-Held Northwest Syria...
16,Athens,0.0,#Jordan recalls its #Iran ambassador
17,Delhi,0.0,Air Strike On Market Kills Around 40 In Opposition-Held Northwest Syria: Air strikes on a vegetable market in opposition-held northwe...
18,Chennai,0.0,Air Strike On Market Kills Around 40 In Opposition-Held Northwest Syria: Air strikes on a vegetable market in ...
19,Jerusalem,-0.1,Manpads are no use against mod Russian Jets &amp; Helicopters: Counter measures invented longtime ago: Useless in Syria?
20,London,0.3,Our own @Zia_Salik discussing the current situation in Syria 5 years on from start of the conflict #ANightInAleppo htt\u2026
21,Canada,0.0,LOLOLOL!!! #ReleasetheTranscripts #Haiti #Aristide #Honduras #BertaCaceres #Iraq #Syria #Libya #\u2026 htt\u2026
22,Delhi,0.0,Air Strike On Market Kills Around 40 In Opposition-Held Northwest Syria
23,Canada,-0.3,Disturbing footage shows horrific reality for Syrians under attack by their own government. #Daraya #Syria
24,Riyadh,0.144444444444,"Air strike in Syria against the morning market in Kafranbel \u2013 as you can easily see, a clear military target"
25,Canada,0.0,Syria\u2019s Saudi-backed opposition says Delegation leaders are leaving Geneva
26,Canada,-0.25,At least 9 civilians killed in a regime airstrike on the road between the Bala town and Deir al-Asafir.
27,Delhi,0.0,Air Strike On Market Kills Around 40 In Opposition-Held Northwest Syria: Air strikes on a vegetable market in ...
28,Riyadh,0.0,#Syria opposition says delegation leaders leaving #Geneva\nhttps:\/\/t.co\/RXDmneDwiO\n#SyriaTalks #\u0633\u0648\u0631\u064a\u0627
29,Canada,-0.3,Disturbing footage shows horrific reality for Syrians under attack by their own government. #Daraya #Syria
30,Hawaii,0.0,#Dailystar White House says US still sees path forward for Syrian peace talks: The United Nations has n...
31,London,0.0,"What If Israel Had Given Up the Golan Heights? A Lesson for Syria\u2019s Crisis, by @aarondmiller2 htt\u2026"
32,Hawaii,0.0,"#Dailystar Russia says some 'players' trying to derail Syria peace talks: agencies: Some \""players\"" are ..."
33,Beijing,0.0,"Hai awak kat Malaysia, jangan lupa doakan saya kat Syria okayyy \ud83d\ude33\ud83d\ude33\ud83d\ude33\ud83d\ude2d"
34,EuropeLondon,0.0,@Bivi_17
35,London,0.0,should #Palmyra be rebuilt?
36,Canada,0.0,The United Nations-brokered Peace talks threatened as violence surges
37,Island,0.45,Mrs @Maryam_Rajavi has said that Syria is becoming an Iranaian quagmire 
38,Canada,0.2,Because those Syrians who want freedom are his real enemies. Nusra and ISIS are not.
39,Jerusalem,0.375,Assad has to rely on foreigners to stay in power. Most Syrians aren't willing to fight to keep him in power
40,Amsterdam,0.35,Trucks full of aid heading to besieged and hard-to-reach towns in Kafr Batna #Syria with @SYRedCrescent @UN
41,Canada,-0.1,"Russian Forces Remain Heavily Involved in Syria, Despite Appearances"
42,Minsk,0.0,Syrian children (under the rubble ) they victims of #Russia airstrikes on their house #warcrimes \n#Syria \nhttps:\/\/t.co\/EtREr\u2026
43,Quito,0.0,"Mother and baby martyred by airstrike on Salaheddin nbrhd. Tue, 19 Apr 2016."
